"","y0_1","y0_2","fY.1000"
"461",-0.5,0.5,0.00727874766340576
"462",0,0.5,0.00888849001455168
"463",0.5,0.5,0.0108682978900099
"464",1,0.5,0.0129273123599784
"465",1.5,0.5,0.0146460509696642
"466",2,0.5,0.0162243537087874
"467",2.5,0.5,0.0176887010462932
"468",3,0.5,0.0185945126902924
"469",3.5,0.5,0.0189766485154728
"470",4,0.5,0.0189123665464739
"471",4.5,0.5,0.0182277929373175
"472",5,0.5,0.0171578461966146
"473",5.5,0.5,0.0157998469341442
"474",6,0.5,0.0140026062529518
"475",6.5,0.5,0.0122166393038337
"476",7,0.5,0.0103998634098703
"477",7.5,0.5,0.00862497215688003
"478",8,0.5,0.0069188695712639
"479",8.5,0.5,0.00535449032873454
"480",9,0.5,0.00411406462137449
"481",9.5,0.5,0.00309459572232076
"482",10,0.5,0.00224677179414899
"483",10.5,0.5,0.0016185946234572
"484",11,0.5,0.00113123111908325
"485",11.5,0.5,0.000736192427685054
"486",12,0.5,0.000475810964274733
"487",12.5,0.5,0.000309061277504975
"488",13,0.5,0.000192310499193182
"489",13.5,0.5,0.000125538145842602
"490",14,0.5,7.59079177280123e-05
"491",14.5,0.5,4.04264522520024e-05
"492",15,0.5,2.15268989499641e-05
"493",-5,1,0.000364398170679859
"494",-4.5,1,0.000579537346075012
"495",-4,1,0.000887464627260683
"496",-3.5,1,0.00131862651671813
"497",-3,1,0.00190353924388267
"498",-2.5,1,0.00264006052859541
"499",-2,1,0.00364818923494771
"500",-1.5,1,0.00488850210856365
"501",-1,1,0.00641210668075473
"502",-0.5,1,0.00805084987783619
"503",0,1,0.00990151135366188
"504",0.5,1,0.0120967529907417
"505",1,1,0.0143526074775216
"506",1.5,1,0.0164707347105779
"507",2,1,0.0184741365081047
"508",2.5,1,0.0200618991561096
"509",3,1,0.0211264040247549
"510",3.5,1,0.0216377018854299
"511",4,1,0.0216243976160626
"512",4.5,1,0.0210663365659033
"513",5,1,0.0199434748313538
"514",5.5,1,0.0184497012716197
"515",6,1,0.0165867980901876
"516",6.5,1,0.0145567488408171
"517",7,1,0.0125310907680212
"518",7.5,1,0.0103177914503236
"519",8,1,0.00818776925233398
"520",8.5,1,0.00642824463568489
"521",9,1,0.00502389163215435
"522",9.5,1,0.00380791323191904
"523",10,1,0.002770599444644
"524",10.5,1,0.00200750658684362
"525",11,1,0.00140065958391448
"526",11.5,1,0.000904439124267617
"527",12,1,0.000599093485589055
"528",12.5,1,0.000382760873330655
"529",13,1,0.00024168372512009
"530",13.5,1,0.000155839261273654
"531",14,1,9.12156272185176e-05
"532",14.5,1,4.71389662928169e-05
"533",15,1,2.50057617552671e-05
"534",-5,1.5,0.00034551074040145
"535",-4.5,1.5,0.000555127864093322
"536",-4,1.5,0.000862838304974643
"537",-3.5,1.5,0.00129652627891777
"538",-3,1.5,0.00186033975882698
"539",-2.5,1.5,0.00266396774606657
"540",-2,1.5,0.00371794039621124
"541",-1.5,1.5,0.00503246313220559
"542",-1,1.5,0.0066458362837428
"543",-0.5,1.5,0.00836602250044944
"544",0,1.5,0.0103791105006401
"545",0.5,1.5,0.0127008265939121
"546",1,1.5,0.0151551792021395
"547",1.5,1.5,0.0175297584746103
"548",2,1.5,0.0196482448835895
"549",2.5,1.5,0.0212278070601106
"550",3,1.5,0.0225529546181622
"551",3.5,1.5,0.0233594752809961
"552",4,1.5,0.0236084909731567
"553",4.5,1.5,0.0230391559698441
"554",5,1.5,0.0218436707534473
"555",5.5,1.5,0.0203087439324867
"556",6,1.5,0.0185215434294127
"557",6.5,1.5,0.0163710195656365
"558",7,1.5,0.0139024223046735
"559",7.5,1.5,0.0115175471704065
"560",8,1.5,0.00935189318998964
"561",8.5,1.5,0.00739141118374767
"562",9,1.5,0.00581421581747121
"563",9.5,1.5,0.00442287488616224
"564",10,1.5,0.00323586064395057
"565",10.5,1.5,0.0023167618481911
"566",11,1.5,0.00161289466824889
"567",11.5,1.5,0.00105794148122861
"568",12,1.5,0.000702486796511189
"569",12.5,1.5,0.000452475735233754
"570",13,1.5,0.000297433078308594
"571",13.5,1.5,0.000177419102954779
"572",14,1.5,9.8907048360838e-05
"573",14.5,1.5,5.32539624223929e-05
"574",15,1.5,2.80384187108421e-05
"575",-5,2,0.000340961426574063
"576",-4.5,2,0.000530713038489941
"577",-4,2,0.000816074199099988
"578",-3.5,2,0.00126307910435906
"579",-3,2,0.00181350022078699
"580",-2.5,2,0.00259756852043473
"581",-2,2,0.00362898510620326
"582",-1.5,2,0.00494058106893958
"583",-1,2,0.0065009178399907
"584",-0.5,2,0.00818407521305889
"585",0,2,0.0102178605584078
"586",0.5,2,0.0126340648072674
"587",1,2,0.0150356871181588
"588",1.5,2,0.0173650422112637
"589",2,2,0.0195177397713418
"590",2.5,2,0.0212556953432153
"591",3,2,0.0226832063354649
"592",3.5,2,0.0236333117172021
"593",4,2,0.0241483438074081
"594",4.5,2,0.0237610129439087
"595",5,2,0.0226624126846755
"596",5.5,2,0.0212650983949966
"597",6,2,0.019412889061789
"598",6.5,2,0.0172457278979562
"599",7,2,0.0147565749398332
"600",7.5,2,0.0123816054073754
"601",8,2,0.0102632105832428
"602",8.5,2,0.00816363185206021
"603",9,2,0.00646285073972019
"604",9.5,2,0.00485050931792132
"605",10,2,0.00357912444720743
"606",10.5,2,0.00256446893274549
"607",11,2,0.00177595082862146
"608",11.5,2,0.00118878752487582
"609",12,2,0.000793331781974737
"610",12.5,2,0.000513053459138108
"611",13,2,0.000341190777807137
"612",13.5,2,0.000200563141268561
"613",14,2,0.000110659633683315
"614",14.5,2,5.93043600361182e-05
"615",15,2,3.10348228258425e-05
"616",-5,2.5,0.000300055929442749
"617",-4.5,2.5,0.000476827608189963
"618",-4,2.5,0.00072169916699368
"619",-3.5,2.5,0.00112490130502751
"620",-3,2.5,0.00164539174918136
"621",-2.5,2.5,0.00234626232459812
"622",-2,2.5,0.00332043716011588
"623",-1.5,2.5,0.00454860706672954
"624",-1,2.5,0.00601301800785393
"625",-0.5,2.5,0.00768038932670641
"626",0,2.5,0.00952993242217145
"627",0.5,2.5,0.0118477217245928
"628",1,2.5,0.0140837241793567
"629",1.5,2.5,0.0162961401631144
"630",2,2.5,0.0183606260541477
"631",2.5,2.5,0.0203312633682271
"632",3,2.5,0.021780546005149
"633",3.5,2.5,0.0227899928255159
"634",4,2.5,0.02336491259322
"635",4.5,2.5,0.0231715222077182
"636",5,2.5,0.0223903288326091
"637",5.5,2.5,0.0212007311351011
"638",6,2.5,0.0193860144692206
"639",6.5,2.5,0.0171935637887219
"640",7,2.5,0.0149523288631314
"641",7.5,2.5,0.0126405055810188
"642",8,2.5,0.010516312586743
"643",8.5,2.5,0.00853014940148677
"644",9,2.5,0.00666042856896949
"645",9.5,2.5,0.00501829376716234
"646",10,2.5,0.00376782253652275
"647",10.5,2.5,0.00274733921388419
"648",11,2.5,0.00189816462455288
"649",11.5,2.5,0.00126451901986
"650",12,2.5,0.000824838832719976
"651",12.5,2.5,0.000553576523162343
"652",13,2.5,0.000348868270246787
"653",13.5,2.5,0.00021377945851688
"654",14,2.5,0.00012387811236239
"655",14.5,2.5,6.50961664290843e-05
"656",15,2.5,3.39541994699079e-05
"657",-5,3,0.000245145570963406
"658",-4.5,3,0.000397995303301508
"659",-4,3,0.00061556837828516
"660",-3.5,3,0.000932933906608073
"661",-3,3,0.0013458566745284
"662",-2.5,3,0.00198818540560262
"663",-2,3,0.00284914414554856
"664",-1.5,3,0.00388482242307482
"665",-1,3,0.00517410759781026
"666",-0.5,3,0.00666047123232207
"667",0,3,0.00836470887049544
"668",0.5,3,0.0103151068014071
"669",1,3,0.0123579471136665
"670",1.5,3,0.0145022325022175
"671",2,3,0.0165354023596156
"672",2.5,3,0.0184408822443408
"673",3,3,0.0198343636523334
"674",3.5,3,0.0208288343371846
"675",4,3,0.0213335851862205
"676",4.5,3,0.0212882353795519
"677",5,3,0.0207081736584136
"678",5.5,3,0.0197986346801407
"679",6,3,0.0182160866323188
"680",6.5,3,0.0162625858743385
"681",7,3,0.014247636580273
"682",7.5,3,0.0121308561870536
"683",8,3,0.0101903550508984
"684",8.5,3,0.00826885912018981
"685",9,3,0.00646609708848837
"686",9.5,3,0.00495741833243602
"687",10,3,0.00372471931627132
"688",10.5,3,0.00274516941839453
"689",11,3,0.00194041066142275
"690",11.5,3,0.00130824385748453
"691",12,3,0.000865185192434009
"692",12.5,3,0.00057585516180418
"693",13,3,0.000367527592562378
"694",13.5,3,0.00023850119430778
"695",14,3,0.000149212694659275
"696",14.5,3,7.31444341647272e-05
"697",15,3,3.72383977571131e-05
"698",-5,3.5,0.000191473045183719
"699",-4.5,3.5,0.000305567468346958
"700",-4,3.5,0.000479972087978846
"701",-3.5,3.5,0.000738529246416345
"702",-3,3.5,0.00105315010755629
"703",-2.5,3.5,0.0015547852709788
"704",-2,3.5,0.0022668041337506
"705",-1.5,3.5,0.00313728764690661
"706",-1,3.5,0.00421301782007774
"707",-0.5,3.5,0.00551402001537241
"708",0,3.5,0.00697153576950268
"709",0.5,3.5,0.00863319930598097
"710",1,3.5,0.0103188835672773
