"","x0","fx.n_100","fx.n_1000","fx.true"
"1285",7.84,0.0600091146697488,0.0593757637681248,0.0586158100992208
"1286",7.85,0.0597911625513115,0.0591280886689724,0.0583659244962279
"1287",7.86,0.0595735898301976,0.0588809051366483,0.0581164584408492
"1288",7.87,0.0593564044213486,0.0586342316673969,0.0578674156716776
"1289",7.88,0.0591396153986879,0.0583880863563778,0.0576187998972271
"1290",7.89,0.058923232804856,0.05814248686183,0.0573706147958964
"1291",7.9,0.0587072674397176,0.0578974503712975,0.0571228640159358
"1292",7.91,0.0584917306315637,0.0576529935699455,0.0568755511754151
"1293",7.92,0.0582766339953722,0.0574091326109806,0.0566286798621933
"1294",7.93,0.0580619891828503,0.0571658830881739,0.0563822536338908
"1295",7.94,0.0578478076292429,0.056923260010472,0.0561362760178622
"1296",7.95,0.0576341003020607,0.0566812777786715,0.0558907505111718
"1297",7.96,0.0574208774569325,0.0564399501641237,0.0556456805805712
"1298",7.97,0.0572081484057274,0.0561992902894265,0.0554010696624774
"1299",7.98,0.0569959213019191,0.0559593106110615,0.0551569211629538
"1300",7.99,0.0567842029478716,0.0557200229039253,0.0549132384576923
"1301",8,0.0565729986283254,0.0554814382477071,0.0546700248919979
"1302",8.01,0.0563623119738569,0.0552435670150649,0.0544272837807742
"1303",8.02,0.0561521448574853,0.0550064188615524,0.0541850184085114
"1304",8.03,0.0559424973269219,0.0547700027172551,0.0539432320292751
"1305",8.04,0.0557333675742078,0.0545343267800977,0.0537019278666982
"1306",8.05,0.0555247519436963,0.0542993985107885,0.0534611091139732
"1307",8.06,0.0553166449785103,0.0540652246293766,0.0532207789338467
"1308",8.07,0.0551090395047706,0.0538318111133986,0.0529809404586162
"1309",8.08,0.0549019267520726,0.0535991631976034,0.0527415967901277
"1310",8.09,0.0546952965078919,0.0533672853752452,0.0525027509997753
"1311",8.1,0.0544891373028632,0.0531361814009432,0.0522644061285029
"1312",8.11,0.0542834366231991,0.0529058542951111,0.052026565186807
"1313",8.12,0.0540781811459316,0.0526763063499619,0.0517892311547415
"1314",8.13,0.0538733569921688,0.0524475391370995,0.0515524069819241
"1315",8.14,0.0536689499931809,0.0522195535167074,0.0513160955875446
"1316",8.15,0.0534649459638734,0.0519923496483467,0.0510802998603738
"1317",8.16,0.0532613309780701,0.0517659270033748,0.0508450226587758
"1318",8.17,0.0530580916400259,0.0515402843789933,0.0506102668107206
"1319",8.18,0.0528552153467049,0.0513154199139275,0.0503760351137982
"1320",8.19,0.0526526905356081,0.0510913311057398,0.0501423303352359
